register_id,variable_name,description_dk,description_english
AKM,ALDER_ULT_INK,"Personens alder på referenecetidspunktet, 31. 12. det pågældende år","Age of the person at the time of reference, 31. 12. year in question"
AKM,ANT_ANSAT_ARBSTED,Antal ansatte for væsentligste arbejdssted ( optælling af ansatte sker for hver arbejdessted under SENR (AKM),Number of employees for most important workplace (counting of employees takes place for each workplace under SENR (AKM)
AKM,ANT_ANSAT_ARBSTED_13,Antal ansatte for væsentligste arbejdssted ( optælling af ansatte sker for hver arbejdessted under SENR (AKM),Number of employees for most important workplace (counting of employees takes place for each workplace under SENR (AKM)
AKM,ANT_ANSAT_SENR,Antal ansatte for væsentligste beskæftigelse (AKM),Number of employees for main employment (AKM)
AKM,ATPSUM2,Beskæftigelsesmål baseret på ATP- indbetalinger (AKM),Employment targets based on ATP payments (AKM)
AKM,BESKST,Beskæftigelsesstatus 1980 til 2001 (Indkomst/AKM),Employment status 1980 to 2001 (Income / AKM)
AKM,BESKST02,Beskæftigelsesstatus fra 2002 (Indkomst/AKM),Employment status from 2002 (Income / AKM)
AKM,BESKST13,Kode for personens væsentligste indkomst-kilde (INDKOMST/AKM),Code for the person's main source of income (INCOME / AKM)
AKM,BRANCHE_77,Dansk branchekode 1977 til 1993 (AKM),Danish industry code 1977 to 1993 (AKM)
AKM,BRCHI,Branchekode for indehaver,Industry code for holder
AKM,BRCHL,Branchekode for lønmodtager,Industry code for employee
AKM,CPRTJEK,CPR-tjek,CPR check
AKM,CPRTYPE,CPR-type,CPR type
AKM,DISCO08_ALLE_INDK,"Fagklassifikation for beskæftigelsesforhold, fra 2010 (AKM)","Professional classification for employment conditions, from 2010 (AKM)"
AKM,DISCO08_ALLE_INDK_13,Fagkode for væsentligste beskæftigelse i året- fra 2010 (AKM),Subject code for most important employment in the year - from 2010 (AKM)
AKM,DISCO08_LOEN_INDK,Fagkode for væsentligste lønmodtagerbeskæftigelse i året. (AKM),Subject code for most important employee employment in the year. (AKM)
AKM,DISCO08_SEL_INDK,Fagkode for arbejde i selvstændig virksomhed (AKM),Subject code for work in self-employment (AKM)
AKM,DISCOALLE_INDK,"Fagklassifikation for beskæftigelsesforhold, fra 1991 TIL 2009 (AKM)","Professional classification for employment conditions, from 1991 TO 2009 (AKM)"
AKM,DISCOLOEN_INDK,Fagkode for væsentligste lønmodtagerbeskæftigelse i året. (AKM),Subject code for most important employee employment in the year. (AKM)
AKM,DISCOSEL_INDK,Fagkode for arbejde i selvstændig virksomhed (AKM),Subject code for work in self-employment (AKM)
AKM,DISCOTYP,Kilde til lønmodtager DISCO-koden (AKM),Source for employee DISCO code (AKM)
AKM,DISCO_ALLE_INDK_13,"Fagklassifikation for beskæftigelsesforhold, fra 1991 TIL 2009 (AKM)","Professional classification for employment conditions, from 1991 TO 2009 (AKM)"
AKM,FUNK_TIMEANT,Personens samlede antal arbejdstimer i året.,The person's total number of working hours per year.
AKM,NACE,"Branche for væsentligste beskæftigelse, fra 1992 til 2007 (AKM)","Industry for main employment, from 1992 to 2007 (AKM)"
AKM,NACEA,Branchegruppering for arbejdssted (1993 til 2007) (AKM),Industry grouping for workplace (1993 to 2007) (AKM)
AKM,NACEA_DB07,Branchegruppering for arbejdssted ( fra 2007) (AKM),Industry grouping for workplace (from 2007) (AKM)
AKM,NACEI,Branchekode for selvstændige og medarbejdende ægtefællers virksomhed(1993 til 2007) (AKM),Industry code for the business of self-employed and employed spouses (1993 to 2007) (AKM)
AKM,NACEI_DB07,Branchegruppering for indehaver (Selvstændig eller medhjælpende ægtefælle) (fra 2007) (AKM),Industry grouping for owner (Self-employed or assisting spouse) (from 2007) (AKM)
AKM,NACE_13,"Branche for væsentligste beskæftigelse, fra 1993 til 2007 (AKM)","Industry for main employment, from 1993 to 2007 (AKM)"
AKM,NACE_DB07,"Branche for væsentligste beskæftigelse, fra 2008-2013 (AKM)","Industry for most important employment, from 2008-2013 (AKM)"
AKM,NACE_DB07_13,"Branche for væsentligste beskæftigelse, fra 2007(AKM)","Industry for most important employment, from 2007 (AKM)"
AKM,NYSTGR,Stillingsgruppering 1980 til 1995 (AKM),Job grouping 1980 to 1995 (AKM)
AKM,OMFANG,Omfang af skattepligt,Extent of tax liability
AKM,PNR,Personnummer,Social security number
AKM,SENR,SENR,SENR
AKM,SENRI,SE-nummer for den virksomhed som personen ejer,SE number of the company that the person owns
AKM,SENRL,SE-nummer for lønmodtager,SE number for employee
AKM,SOCIO,Socioøkonomisk klassifikation fra 1994 til 2001 (AKM),Socio-economic classification from 1994 to 2001 (AKM)
AKM,SOCIO02,Socioøkonomisk klassifikation fra 2002 (AKM),Socio-economic classification from 2002 (AKM)
AKM,SOCIO13,Socioøkonomisk klassifikation version 2013 (AKM),Socio-economic classification version 2013 (AKM)
AKM,SOCIO_GL,Socioøkonomisk klassifikation fra 1976 til 1990,Socio-economic classification from 1976 to 1990
AKM,TYP,Stillingstype,Job type
AKM,VERSION,Moduldata version,Modular data version
AKM,VIRKF,Virksomhedskode angiver hvilken form for ejerskab der er på den arbejdsplads personen får størst erhrvsindkomst fra (AKM),Company code indicates what kind of ownership is in the workplace the person receives the most earned income from (AKM)
AKM,VIRKFA,Virksomhedskode angiver hvilken form for ejerskab der er på den arbejdsplads personen får størstklønindkomst/arbejdstimer (AKM),Company code indicates what kind of ownership is in the workplace the person receives the largest salary income / working hours (AKM)
AKM,VIRKF_13,Virksomhedskode angiver hvilken form for ejerskab der er på den arbejdsplads personen får størst erhrvsindkomst fra (AKM),Company code indicates what kind of ownership is in the workplace the person receives the most earned income from (AKM)
AKM,ALDER_ULT_INK,,
AKM,ANT_ANSAT_ARBSTED,,
AKM,ANT_ANSAT_ARBSTED_13,,
AKM,ANT_ANSAT_SENR,,
AKM,ATPSUM2,,
AKM,CPRTJEK,,
AKM,CPRTYPE,,
AKM,DISCO08_LOEN_INDK,,
AKM,DISCO08_SEL_INDK,,
AKM,DISCOLOEN_INDK,,
AKM,DISCOSEL_INDK,,
AKM,FUNK_TIMEANT,,
AKM,NACEA,,
AKM,NACEA_DB07,,
AKM,NACEI,,
AKM,NACEI_DB07,,
AKM,TYP,,
AKM,VERSION,,
AKM,VIRKF,,
AKM,VIRKFA,,
AKM,VIRKF_13,,
